@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data
0,0,1,1,1,0,0.149797,0.030147,0.076733,0.366344,0.649027,0.819281,0.639393,0.680508,0.475543,0.378523,0.35549,0.389301,0.353115,0.399002,0.446302,0.387605,0.103009,0.075519,0.049971,0.165465,0.197232,0.325544,0.389038,0.232367,0.313537,0.39051,0.26473,0.270233,0.297262,0.242311,0.306812,0.268146,0.121146,0.137015,0.112422,0.30423,0.471739,0.404311,0.862828,0.541871,0.493187,0.392889,0.227418,0.329062,0.280122,0.21166,0.308454,0.199144,0.68774,0.431842,0.915977,0.60511,0.772408,0.889718,0.780909,0.468887,0.70846,0.6505,0.451123,0.531022,0.354854,0.318103,0.173836,0.356578,0.016148,0.349206,0.001931,0.330827,0.099943,0.047762,0.071014
0,1,1,1,0,0,0.158716,0.046523,0.029934,0.423074,0.589958,0.699931,0.610484,0.565427,0.575399,0.337755,0.29571,0.440217,0.308979,0.282428,0.369783,0.236054,0.045584,0.062968,0.025029,0.167399,0.116972,0.241959,0.07434,0.167686,0.218322,0.203309,0.152445,0.088025,0.155939,0.201949,0.30694,0.211139,0.07359,0.206798,0.14882,0.306354,0.399107,0.572036,0.270997,0.511799,0.442912,0.291349,0.256873,0.117726,0.227038,0.394677,0.592074,0.376896,0.362223,0.477513,0.935926,0.621448,0.380449,0.510218,0.262118,0.398958,0.436743,0.401479,0.258704,0.144747,0.34009,0.456771,0.309889,0.404209,0.005898,0.206349,0.00993,0.195489,0.033544,0.066733,0.048859
0,0,1,1,1,0,0.142923,0.047398,0.13189,0.529057,0.619697,0.624852,0.504268,0.796049,0.47187,0.684702,0.532664,0.279298,0.616948,0.500848,0.213425,0.473691,0.136598,0.158295,0.099931,0.140653,0.299573,0.272968,0.35293,0.303365,0.320858,0.670503,0.278529,0.256816,0.412425,0.29104,0.407209,0.27003,0.085165,0.163352,0.210638,0.142685,0.278826,0.250203,0.304168,0.330879,0.524034,0.363453,0.176626,0.140237,0.212894,0.140143,0.218905,0.127986,0.525367,0.454868,0.895766,0.71059,0.504017,0.450615,0.402069,0.332481,0.446602,0.639921,0.251689,0.233959,0.379429,0.228089,0.167256,0.234542,0.007485,0.555556,0,0.526316,0.059319,0.115171,0.088455
0,0,0,0,0,1,0.283822,0.279081,0.283775,0.791627,0.338972,0.495008,0.391792,0.526482,0.182439,0.666535,0.524257,0.369857,0.636789,0.423259,0.495849,0.341305,0.322242,0.552233,0.192116,0.25845,0.361577,0.532473,0.520242,0.475238,0.703043,0.719548,0.671737,0.41233,0.571874,0.453066,0.544263,0.284979,0.069744,0.163824,0.193671,0.154471,0.117191,0.265157,0.225083,0.293242,0.302158,0.162874,0.139862,0.141194,0.153881,0.094398,0.209428,0.086376,0.376214,0.271114,0.907788,0.339314,0.400623,0.490811,0.371442,0.392507,0.535796,0.585986,0.298229,0.272094,0.311128,0.184448,0.115219,0.088327,0.083966,0,0.03043,0,0.135579,0.062912,0.093128
1,0,0,0,0,1,0.280777,0.558355,0.222122,0.726285,0.202043,0.50743,0.364898,0.63303,0.385348,0.692826,0.645108,0.461949,0.893224,0.323889,0.391781,0.506098,0.321128,0.754215,0.220358,0.370082,0.559059,0.480505,0.694119,0.484968,0.504374,0.654449,0.366217,0.210906,0.309659,0.223968,0.317472,0.223089,0.145626,0.296033,0.26318,0.175823,0.383842,0.198517,0.196145,0.46456,0.340124,0.356485,0.170306,0.140456,0.306738,0.221981,0.15609,0.051884,0.383485,0.238689,0.862488,0.407552,0.603614,0.284022,0.246155,0.633327,0.341034,0.465749,0.223776,0.228825,0.430815,0.235711,0.092895,0.061898,0.533815,0.253968,0.574546,0.240602,0.548248,0.63327,0.641099
1,1,0,0,0,0,0.329743,0.201735,0.129484,0.859047,0.332437,0.444473,0.320043,0.486689,0.288622,0.613165,0.710011,0.454261,0.462514,0.61022,0.325637,0.392871,0.201782,0.235573,0.052699,0.072457,0.098909,0.211431,0.202184,0.20213,0.324677,0.382594,0.319384,0.176791,0.265608,0.326318,0.317929,0.274699,0.109065,0.210588,0.084654,0.034736,0.130209,0.091889,0.230679,0.217922,0.383101,0.132857,0.092326,0.088281,0.10305,0.156952,0.107961,0.089365,0.35508,0.314216,0.911055,0.463382,0.256002,0.237119,0.231479,0.182124,0.305683,0.371716,0.156126,0.090185,0.166704,0.195302,0.129844,0.143042,0.047864,0.365079,0.097743,0.345865,0.185367,0.128107,0.21844
1,0,0,0,0,1,0.354617,0.570988,0.277178,0.632552,0.133238,0.35035,0.417538,0.857355,0.570713,0.651609,0.724823,0.428346,0.630619,0.649337,0.359732,0.500606,0.412061,0.755428,0.174172,0.295679,0.299624,0.422239,0.392376,0.353836,0.293429,0.316168,0.211117,0.111092,0.255365,0.217742,0.195074,0.132524,0.149659,0.141142,0.031232,0.113303,0.135057,0.292182,0.28167,0.242369,0.134517,0.091228,0.06292,0.043178,0.007529,0.066368,0.030599,0.020898,0.405795,0.047754,0.848332,0.345205,0.050271,0.25398,0.058465,0.164894,0.189028,0.199372,0.117328,0.04245,0.038575,0.043234,0.021381,0.022677,0.281494,0.253968,0.366258,0.240602,0.28944,0.384926,0.359214
0,0,0,0,1,0,0.145666,0.077597,0.136872,0.809439,0.511055,0.237689,0.592731,0.578463,0.29529,0.310293,0.558771,0.483098,0.732181,0.418424,0.362,0.427195,0.084481,0.103517,0.125246,0.137867,0.282283,0.247374,0.21905,0.208153,0.148131,0.23532,0.194167,0.131804,0.219162,0.260152,0.239061,0.158103,0.054743,0.076124,0.054773,0.015036,0.15091,0.124489,0.211403,0.188304,0.12438,0.202359,0.125672,0.091497,0.196995,0.171343,0.182447,0.094837,0.30655,0.183713,0.899904,0.522704,0.106941,0.211134,0.144764,0.17744,0.114847,0.260199,0.131352,0.13624,0.119031,0.125141,0.088788,0.046924,0.009192,0.222222,0.026767,0.210526,0.048249,0.079646,0.056438
1,1,0,0,0,0,0.374902,0.213839,0.117387,0.801585,0.386146,0.216054,0.392757,0.503887,0.503704,0.47273,0.62249,0.377408,0.597172,0.666389,0.331898,0.528219,0.182343,0.157265,0.049333,0.040584,0.084339,0.152586,0.171144,0.231508,0.306684,0.294418,0.295209,0.192634,0.257155,0.273689,0.254886,0.202977,0.036795,0.081979,0.182517,0.056362,0.044586,0.154759,0.147323,0.225726,0.305088,0.143941,0.096251,0.08315,0.117248,0.147733,0.103106,0.076864,0.347607,0.322682,0.920289,0.427535,0.19551,0.275092,0.191316,0.280792,0.472306,0.254367,0.206151,0.242197,0.146924,0.145993,0.074901,0.171026,0.063187,0.349206,0.061131,0.330827,0.163172,0.182846,0.22929
0,0,0,1,1,0,0.186625,0.059895,0.091338,0.537077,0.546237,0.605182,0.419179,0.458622,0.32866,0.438028,0.50333,0.358075,0.693156,0.529091,0.352211,0.492303,0.094048,0.08125,0.056605,0.165,0.233868,0.299274,0.238062,0.272595,0.320795,0.560931,0.527645,0.32092,0.595969,0.528113,0.696973,0.291717,0.088347,0.088329,0.129975,0.268281,0.530097,0.413021,0.491144,0.650326,0.399251,0.279334,0.27139,0.169031,0.321394,0.342352,0.470639,0.190105,0.363783,0.265705,0.905741,0.623001,0.559198,0.489251,0.31568,0.33813,0.635992,0.742526,0.518131,0.472842,0.87655,0.565396,0.475685,0.258571,0.013338,0.333333,0.012667,0.315789,0.105772,0.02571,0.100682
1,0,0,0,0,1,0.468336,0.363911,0.256416,0.666463,0.190517,0.160931,0.182624,0.939344,0.663357,0.6376,0.840384,0.574646,0.592155,0.772431,0.571305,0.514445,0.39448,0.458208,0.128734,0.168442,0.292436,0.42437,0.302134,0.544314,0.366246,0.465531,0.415699,0.138875,0.293541,0.180835,0.378778,0.273971,0.189196,0.113085,0.219913,0.320562,0.462799,0.134701,0.290574,0.359379,0.215212,0.131859,0.115268,0.068461,0.069652,0.080722,0.071024,0.035358,0.293292,0.315665,0.880521,0.416955,0.075441,0.156673,0.173303,0.25067,0.238487,0.186975,0.12976,0.082916,0.048417,0.020418,0.053146,0.057945,0.341035,0.253968,0.30389,0.240602,0.45729,0.373224,0.472132
0,0,1,0,0,0,0.376112,0.720599,0.334143,0.528168,0.262503,0.313902,0.482412,0.542867,0.384915,0.450725,0.418089,0.643942,0.784282,0.571565,0.480291,0.500183,0.457057,0.711377,0.281265,0.445025,0.43738,0.694456,0.645845,0.573223,0.591168,0.847037,0.767292,0.412392,0.476741,0.493239,0.553418,0.414345,0.257966,0.754516,0.193495,0.326941,0.333255,0.717876,0.345665,0.529496,0.444635,0.248382,0.278733,0.192426,0.164813,0.145188,0.232332,0.199937,0.574338,0.538385,0.844629,0.40419,0.438829,0.873419,0.450596,0.637534,0.56748,0.69823,0.444804,0.340973,0.348843,0.343984,0.248245,0.428089,0.03649,0.333333,0,0.315789,0.129367,0.045456,0.080549
0,0,1,0,1,0,0.385755,0.327673,0.350511,0.554375,0.52801,0.24759,0.614393,0.488457,0.301218,0.653538,0.557745,0.669041,0.545448,0.730263,0.352422,0.613181,0.604405,0.667678,0.202557,0.25424,0.349045,0.431229,0.49142,0.390455,0.368681,0.665024,0.451266,0.294943,0.438105,0.347208,0.444765,0.287995,0.183422,0.313354,0.148174,0.28142,0.374342,0.329513,0.307368,0.557478,0.237741,0.410469,0.198625,0.177425,0.315619,0.147411,0.220855,0.189375,0.494794,0.28923,0.849421,0.509405,0.315172,0.383061,0.272369,0.294796,0.336151,0.687403,0.296018,0.268507,0.275076,0.149543,0.199354,0.238198,0.109073,0.380952,0.086269,0.360902,0.249435,0.057346,0.220441
1,0,0,0,0,1,0.171415,0.085113,0.120064,0.845833,0.488677,0.378642,0.446743,0.491288,0.507957,0.357586,0.499698,0.286013,0.46301,0.404552,0.346302,0.337527,0.082041,0.081099,0.106081,0.133446,0.177191,0.119771,0.101923,0.14635,0.143025,0.245613,0.215181,0.14318,0.147713,0.201319,0.272351,0.148313,0.053526,0.148781,0.144887,0.109646,0.295083,0.178388,0.270368,0.282865,0.156373,0.205887,0.084812,0.135462,0.082315,0.129488,0.142092,0.136949,0.337875,0.26347,0.928783,0.543955,0.465203,0.204933,0.160393,0.223336,0.264399,0.429749,0.180449,0.227103,0.118249,0.142059,0.159983,0.148287,0.23408,0.111111,0,0.105263,0.271004,0.169293,0.365077
1,1,0,0,0,0,0.538051,0.362847,0.25113,0.847416,0.353424,0.576989,0.248102,0.553122,0.307755,0.268048,0.423899,0.275702,0.340052,0.510099,0.280694,0.580485,0.617094,0.576273,0.163753,0.230541,0.432581,0.460695,0.631817,0.508163,0.54206,0.857895,0.569767,0.30817,0.51387,0.479412,0.516022,0.321784,0.179679,0.239605,0.180521,0.033497,0.16708,0.097222,0.35007,0.391242,0.200585,0.145192,0.107151,0.079245,0.104747,0.120366,0.104745,0.056315,0.472944,0.134492,0.860571,0.372758,0.203495,0.214794,0.287575,0.301011,0.502951,0.47759,0.193131,0.188797,0.215152,0.233007,0.120647,0.105024,0.650738,0.190476,0.779921,0.180451,0.602554,0.764816,0.71423
